,genres,n_genres,loss,accuracy
49,"hiphop, rock, blues",3,0.34206036348705704,0.8819875717163086
50,"hiphop, edm_dance, indie_alt",3,0.8582799692307749,0.5967742204666138
51,"hiphop, edm_dance, classical",3,0.2855715485719534,0.8884615302085876
52,"hiphop, edm_dance, jazz",3,0.6667675254637735,0.719298243522644
53,"hiphop, edm_dance, soul",3,0.46501310272564783,0.8086785078048706
54,"hiphop, edm_dance, kpop",3,0.6638316363916484,0.7284403443336487
55,"hiphop, edm_dance, reggae",3,0.5264911786202462,0.8024193644523621
56,"hiphop, edm_dance, blues",3,0.38901974507000137,0.8586956262588501
57,"hiphop, indie_alt, classical",3,0.2037639808985382,0.9298532009124756
58,"hiphop, indie_alt, jazz",3,1.0695780330792846,0.44665011763572693
59,"hiphop, indie_alt, soul",3,0.6710261625402114,0.75
60,"hiphop, indie_alt, kpop",3,0.5614832005803547,0.7566137313842773
61,"hiphop, indie_alt, reggae",3,0.526797170334674,0.7902735471725464
62,"hiphop, indie_alt, blues",3,0.3688923433779043,0.894197940826416
63,"hiphop, classical, jazz",3,0.3720517030935304,0.8312610983848572
64,"hiphop, classical, soul",3,0.09735952353477478,0.9739999771118164
65,"hiphop, classical, kpop",3,0.23781740770685628,0.9126393795013428
66,"hiphop, classical, reggae",3,0.20685495475806098,0.8936605453491211
67,"hiphop, classical, blues",3,0.1223333612262738,0.9690949320793152
68,"hiphop, jazz, soul",3,0.5018688662298795,0.8241379261016846
69,"hiphop, jazz, kpop",3,0.4641416203684923,0.8079268336296082
70,"hiphop, jazz, reggae",3,0.4964065458825839,0.781361997127533
71,"hiphop, jazz, blues",3,0.37211530811992694,0.8806584477424622
72,"hiphop, soul, kpop",3,0.8486255064155116,0.6212121248245239
73,"hiphop, soul, reggae",3,0.6915587123050246,0.6930232644081116
74,"hiphop, soul, blues",3,0.38936104821093254,0.8659217953681946
75,"hiphop, kpop, reggae",3,1.0475792234594172,0.4229249060153961
76,"hiphop, kpop, blues",3,0.6209043871422517,0.7695852518081665
77,"hiphop, reggae, blues",3,0.9064295859563918,0.6190476417541504
78,"pop, country, rnb",3,0.7926579656475835,0.6793003082275391
79,"pop, country, latin",3,0.5805539475297028,0.7754716873168945
80,"pop, country, rock",3,0.6079011712454062,0.7632743120193481
81,"pop, country, edm_dance",3,0.486629198888769,0.8387096524238586
82,"pop, country, indie_alt",3,0.6578348550186338,0.7322275042533875
83,"pop, country, classical",3,0.1667717818132381,0.9467353820800781
84,"pop, country, jazz",3,0.4075423642512291,0.852150559425354
85,"pop, country, soul",3,0.6964808739118977,0.7637540698051453
86,"pop, country, kpop",3,0.5306561869228265,0.8126801252365112
87,"pop, country, reggae",3,0.7076742737085228,0.7617449760437012
88,"pop, country, blues",3,0.5122685159435709,0.8320610523223877
89,"pop, rnb, latin",3,0.7598971275999995,0.7004950642585754
90,"pop, rnb, rock",3,0.8521210523752066,0.6153846383094788
91,"pop, rnb, edm_dance",3,0.4565469067117308,0.8272138237953186
92,"pop, rnb, indie_alt",3,0.8867962972537892,0.587837815284729
93,"pop, rnb, classical",3,0.2326959786270827,0.9232456088066101
94,"pop, rnb, jazz",3,0.558242562340527,0.772357702255249
95,"pop, rnb, soul",3,0.946245177761539,0.5769230723381042
96,"pop, rnb, kpop",3,0.7219249985434792,0.7363636493682861
97,"pop, rnb, reggae",3,1.0140002446565015,0.5263158082962036
98,"pop, rnb, blues",3,0.9360492439831004,0.625
99,"pop, latin, rock",3,0.5130774633229127,0.820662796497345
100,"pop, latin, edm_dance",3,0.8065477488591121,0.5307692289352417
101,"pop, latin, indie_alt",3,0.8121121083974344,0.6004140973091125
102,"pop, latin, classical",3,0.14514370308971702,0.9595645666122437
103,"pop, latin, jazz",3,0.367503931233982,0.8752886652946472
104,"pop, latin, soul",3,0.5915126777984,0.7756756544113159
105,"pop, latin, kpop",3,0.7486349601371616,0.7107843160629272
106,"pop, latin, reggae",3,0.5223539758857578,0.8217270374298096
107,"pop, latin, blues",3,0.3672058717016096,0.891640841960907
108,"pop, rock, edm_dance",3,0.5677316655645838,0.7639859914779663
109,"pop, rock, indie_alt",3,0.7815651216624696,0.575308620929718
110,"pop, rock, classical",3,0.17001530984334187,0.9292035102844238
111,"pop, rock, jazz",3,0.46395851134414406,0.8338028192520142
112,"pop, rock, soul",3,0.6430788597290459,0.7182130813598633
113,"pop, rock, kpop",3,0.46152467137955605,0.8237082362174988
114,"pop, rock, reggae",3,0.46004573447363717,0.8035714030265808
115,"pop, rock, blues",3,0.6312478571521992,0.8040816187858582
116,"pop, edm_dance, indie_alt",3,0.798718342481944,0.6291512846946716
117,"pop, edm_dance, classical",3,0.8043572542674181,0.5014244914054871
