,genres,n_genres,loss,accuracy
7041,"hiphop, pop, latin, rock, classical, soul, kpop",3,0.9714821213864723,0.6480647921562195
7042,"hiphop, pop, latin, rock, classical, soul, reggae",3,0.9260950964049431,0.6534839868545532
7043,"hiphop, pop, latin, rock, classical, soul, blues",3,0.8540553095103935,0.6825705766677856
7044,"hiphop, pop, latin, rock, classical, kpop, reggae",3,0.9257161710479043,0.6836363673210144
7045,"hiphop, pop, latin, rock, classical, kpop, blues",3,0.8201554599502276,0.6807511448860168
7046,"hiphop, pop, latin, rock, classical, reggae, blues",3,1.6272699316655557,0.2972441017627716
7047,"hiphop, pop, latin, rock, jazz, soul, kpop",3,1.7584218865097165,0.32186460494995117
7048,"hiphop, pop, latin, rock, jazz, soul, reggae",3,1.0927624019658622,0.6267605423927307
7049,"hiphop, pop, latin, rock, jazz, soul, blues",3,1.6605268546096261,0.3451652526855469
7050,"hiphop, pop, latin, rock, jazz, kpop, reggae",3,1.3370246603247824,0.5247191190719604
7051,"hiphop, pop, latin, rock, jazz, kpop, blues",3,1.2105090204038118,0.5836257338523865
7052,"hiphop, pop, latin, rock, jazz, reggae, blues",3,1.018323870509789,0.6600496172904968
7053,"hiphop, pop, latin, rock, soul, kpop, reggae",3,1.2555382767784553,0.5344619154930115
7054,"hiphop, pop, latin, rock, soul, kpop, blues",3,1.3154521687745144,0.5221238732337952
7055,"hiphop, pop, latin, rock, soul, reggae, blues",3,1.4722187175262327,0.4218328893184662
7056,"hiphop, pop, latin, rock, kpop, reggae, blues",3,1.45704225393442,0.4564102590084076
7057,"hiphop, pop, latin, edm_dance, indie_alt, classical, jazz",3,1.1227608165067624,0.5100864768028259
7058,"hiphop, pop, latin, edm_dance, indie_alt, classical, soul",3,0.8794419392718289,0.6767371892929077
7059,"hiphop, pop, latin, edm_dance, indie_alt, classical, kpop",3,1.1091199294060863,0.5469897389411926
7060,"hiphop, pop, latin, edm_dance, indie_alt, classical, reggae",3,1.7224497702497612,0.25057122111320496
7061,"hiphop, pop, latin, edm_dance, indie_alt, classical, blues",3,0.9911504386922749,0.5641627311706543
7062,"hiphop, pop, latin, edm_dance, indie_alt, jazz, soul",3,1.2689777452170956,0.5314183235168457
7063,"hiphop, pop, latin, edm_dance, indie_alt, jazz, kpop",3,1.3974161744117737,0.421875
7064,"hiphop, pop, latin, edm_dance, indie_alt, jazz, reggae",3,1.1849717863667368,0.578422486782074
7065,"hiphop, pop, latin, edm_dance, indie_alt, jazz, blues",3,1.1603588053349698,0.5739700198173523
7066,"hiphop, pop, latin, edm_dance, indie_alt, soul, kpop",3,1.726828710873046,0.29384756088256836
7067,"hiphop, pop, latin, edm_dance, indie_alt, soul, reggae",3,1.423152391727154,0.4634615480899811
7068,"hiphop, pop, latin, edm_dance, indie_alt, soul, blues",3,1.6328797991057316,0.32669323682785034
7069,"hiphop, pop, latin, edm_dance, indie_alt, kpop, reggae",3,1.7114786133031898,0.29777365922927856
7070,"hiphop, pop, latin, edm_dance, indie_alt, kpop, blues",3,1.277385633874992,0.47696736454963684
7071,"hiphop, pop, latin, edm_dance, indie_alt, reggae, blues",3,1.1321751133192701,0.5850956439971924
7072,"hiphop, pop, latin, edm_dance, classical, jazz, soul",3,0.862775727755608,0.6718995571136475
7073,"hiphop, pop, latin, edm_dance, classical, jazz, kpop",3,1.1113360393338088,0.5411585569381714
7074,"hiphop, pop, latin, edm_dance, classical, jazz, reggae",3,1.0245052270726938,0.5819477438926697
7075,"hiphop, pop, latin, edm_dance, classical, jazz, blues",3,0.9267250947921206,0.6579804420471191
7076,"hiphop, pop, latin, edm_dance, classical, soul, kpop",3,0.9779049907270386,0.6244996190071106
7077,"hiphop, pop, latin, edm_dance, classical, soul, reggae",3,0.9849434232711792,0.6083333492279053
7078,"hiphop, pop, latin, edm_dance, classical, soul, blues",3,0.9304546097299897,0.6116838455200195
7079,"hiphop, pop, latin, edm_dance, classical, kpop, reggae",3,0.9723447334015312,0.6599353551864624
7080,"hiphop, pop, latin, edm_dance, classical, kpop, blues",3,1.6318800806404152,0.26039934158325195
7081,"hiphop, pop, latin, edm_dance, classical, reggae, blues",3,0.7671566050360746,0.7241977453231812
7082,"hiphop, pop, latin, edm_dance, jazz, soul, kpop",3,1.2627116048186875,0.534167468547821
7083,"hiphop, pop, latin, edm_dance, jazz, soul, reggae",3,1.6797696689162591,0.3232323229312897
7084,"hiphop, pop, latin, edm_dance, jazz, soul, blues",3,1.0478925894891191,0.6341719031333923
7085,"hiphop, pop, latin, edm_dance, jazz, kpop, reggae",3,1.1600567042131833,0.5690661668777466
7086,"hiphop, pop, latin, edm_dance, jazz, kpop, blues",3,1.3561012860267394,0.47883063554763794
7087,"hiphop, pop, latin, edm_dance, jazz, reggae, blues",3,1.343770329292354,0.4581124186515808
7088,"hiphop, pop, latin, edm_dance, soul, kpop, reggae",3,1.336346912928142,0.5155601501464844
7089,"hiphop, pop, latin, edm_dance, soul, kpop, blues",3,1.2652600029697973,0.5532830953598022
7090,"hiphop, pop, latin, edm_dance, soul, reggae, blues",3,1.2482506275177,0.5465909242630005
7091,"hiphop, pop, latin, edm_dance, kpop, reggae, blues",3,1.1779300200393776,0.5740740895271301
7092,"hiphop, pop, latin, indie_alt, classical, jazz, soul",3,0.9086087135010834,0.6639566421508789
7093,"hiphop, pop, latin, indie_alt, classical, jazz, kpop",3,1.0226717789100248,0.6122270822525024
7094,"hiphop, pop, latin, indie_alt, classical, jazz, reggae",3,0.9236325417121831,0.6377737522125244
7095,"hiphop, pop, latin, indie_alt, classical, jazz, blues",3,0.836613268755608,0.6927427053451538
7096,"hiphop, pop, latin, indie_alt, classical, soul, kpop",3,0.9435068049404405,0.6487985253334045
7097,"hiphop, pop, latin, indie_alt, classical, soul, reggae",3,0.8726636972224262,0.6815101504325867
7098,"hiphop, pop, latin, indie_alt, classical, soul, blues",3,0.8345720459489431,0.6700100302696228
7099,"hiphop, pop, latin, indie_alt, classical, kpop, reggae",3,0.8881660358689858,0.6694678068161011
7100,"hiphop, pop, latin, indie_alt, classical, kpop, blues",3,0.8654820388641911,0.6734299659729004
7101,"hiphop, pop, latin, indie_alt, classical, reggae, blues",3,0.7601802935464871,0.7423934936523438
7102,"hiphop, pop, latin, indie_alt, jazz, soul, kpop",3,1.2084991264780727,0.5561926364898682
7103,"hiphop, pop, latin, indie_alt, jazz, soul, reggae",3,1.2806534464420118,0.5261239409446716
7104,"hiphop, pop, latin, indie_alt, jazz, soul, blues",3,1.2351395253759478,0.5463786721229553
7105,"hiphop, pop, latin, indie_alt, jazz, kpop, reggae",3,1.206437729376949,0.5737514495849609
7106,"hiphop, pop, latin, indie_alt, jazz, kpop, blues",3,1.150077640360052,0.5696969628334045
7107,"hiphop, pop, latin, indie_alt, jazz, reggae, blues",3,1.2031290555737681,0.5579897165298462
7108,"hiphop, pop, latin, indie_alt, soul, kpop, reggae",3,1.3292102043422283,0.500627338886261
7109,"hiphop, pop, latin, indie_alt, soul, kpop, blues",3,1.2565244445650596,0.530183732509613
7110,"hiphop, pop, latin, indie_alt, soul, reggae, blues",3,1.6081734892362298,0.4011220335960388
7111,"hiphop, pop, latin, indie_alt, kpop, reggae, blues",3,1.6454926613326397,0.37283623218536377
7112,"hiphop, pop, latin, classical, jazz, soul, kpop",3,0.9648077344709589,0.6172480583190918
7113,"hiphop, pop, latin, classical, jazz, soul, reggae",3,0.8618247576308032,0.6846388578414917
7114,"hiphop, pop, latin, classical, jazz, soul, blues",3,1.6326276162106232,0.3347412943840027
7115,"hiphop, pop, latin, classical, jazz, kpop, reggae",3,0.9848252956944278,0.6131243705749512
7116,"hiphop, pop, latin, classical, jazz, kpop, blues",3,1.6422239211610126,0.3289340138435364
7117,"hiphop, pop, latin, classical, jazz, reggae, blues",3,1.5989491888600538,0.3440170884132385
7118,"hiphop, pop, latin, classical, soul, kpop, reggae",3,1.036134719474936,0.5935214161872864
7119,"hiphop, pop, latin, classical, soul, kpop, blues",3,0.953878679270341,0.6409978270530701
7120,"hiphop, pop, latin, classical, soul, reggae, blues",3,0.8716537291514778,0.6884307265281677
7121,"hiphop, pop, latin, classical, kpop, reggae, blues",3,0.9157545917905646,0.6663007736206055
7122,"hiphop, pop, latin, jazz, soul, kpop, reggae",3,1.7255110790132677,0.36947789788246155
7123,"hiphop, pop, latin, jazz, soul, kpop, blues",3,1.1434436433770683,0.5758426785469055
7124,"hiphop, pop, latin, jazz, soul, reggae, blues",3,1.1719544716010806,0.6093514561653137
7125,"hiphop, pop, latin, jazz, kpop, reggae, blues",3,1.178645478845833,0.5563480854034424
7126,"hiphop, pop, latin, soul, kpop, reggae, blues",3,1.3935981749365431,0.5274725556373596
7127,"hiphop, pop, rock, edm_dance, indie_alt, classical, jazz",3,1.0689696521591465,0.5431627035140991
7128,"hiphop, pop, rock, edm_dance, indie_alt, classical, soul",3,0.9046556957269366,0.6324237585067749
7129,"hiphop, pop, rock, edm_dance, indie_alt, classical, kpop",3,0.8836771791969132,0.6440809965133667
7130,"hiphop, pop, rock, edm_dance, indie_alt, classical, reggae",3,1.1238792720593904,0.5603238940238953
7131,"hiphop, pop, rock, edm_dance, indie_alt, classical, blues",3,0.9478667241220577,0.6113427877426147
7132,"hiphop, pop, rock, edm_dance, indie_alt, jazz, soul",3,1.5557145579901441,0.3986486494541168
7133,"hiphop, pop, rock, edm_dance, indie_alt, jazz, kpop",3,1.294719802711707,0.5111731886863708
7134,"hiphop, pop, rock, edm_dance, indie_alt, jazz, reggae",3,1.7230388093576199,0.3404878079891205
7135,"hiphop, pop, rock, edm_dance, indie_alt, jazz, blues",3,1.461506824763407,0.4560161828994751
